2023-06-12 10:46:58.752
Trial Number,Confidence In Performing Task,Perceived Reliability,Trust
1,21,69,69
2,34,69,69
3,54,69,69
4,54,69,69
5,54,69,69
6,54,69,69
7,54,89,91
8,54,89,91
9,54,89,91
10,54,89,91
11,54,89,91
12,54,89,91
13,54,89,91
14,54,95,95
15,54,95,95
16,54,95,95
17,54,95,95
18,54,95,95
19,54,95,95
20,54,95,95
21,54,95,95
22,54,87,87
23,54,82,81
24,54,82,81
25,54,82,81
26,54,77,77
27,54,63,63
28,54,63,63
29,54,63,63
30,54,63,63
31,54,63,63
32,54,63,63
33,54,54,54
34,54,54,54
35,54,54,54
36,54,54,54
37,54,23,23
38,54,23,23
39,63,37,37
40,63,37,37
