2023-06-12 11:03:50.493
Trial Number,Confidence In Performing Task,Perceived Reliability,Trust
1,50,77,77
2,50,74,75
3,50,74,75
4,50,74,75
5,50,74,75
6,50,74,75
7,50,74,75
8,50,74,75
9,50,74,75
10,50,74,75
11,50,74,75
12,50,74,75
13,50,74,75
14,50,74,75
15,50,74,75
16,50,87,87
17,50,87,87
18,44,87,87
19,44,87,87
20,44,87,87
21,39,87,87
22,39,87,87
23,39,87,87
24,39,87,87
25,39,87,87
26,39,87,87
27,39,79,87
28,39,79,87
29,39,87,87
30,39,87,87
31,39,87,87
32,39,87,87
33,39,87,87
34,39,87,87
35,29,74,80
36,29,74,80
37,29,74,80
38,29,79,80
39,29,79,80
40,29,79,80
